Time stamp,Model,Scenario,SNR (dB),Frequency (GHz),Antenna Count,Mean SE (bps/Hz),Min SE (bps/Hz),Max SE (bps/Hz),Users with SE ≥ 90% of Optimal (%)
2026-05-21 13:15:14,DNN,O1,0,28,64,1.7,0.0,5.0,92.1
2026-05-21 13:15:22,DNN,O1,5,28,64,2.8,0.0,6.6,92.6
2026-05-21 13:15:29,DNN,O1,10,28,64,4.2,0.0,8.2,91.4
2026-05-21 13:15:37,DNN,O1,15,28,64,5.7,0.0,9.9,92.1
2026-05-21 13:15:44,DNN,O1,20,28,64,7.3,0.0,11.6,92.6
2026-05-21 13:15:51,DNN,O1,0,60,64,1.4,0.0,4.9,90.6
2026-05-21 13:15:59,DNN,O1,5,60,64,2.5,0.0,6.5,91.0
2026-05-21 13:16:06,DNN,O1,10,60,64,3.9,0.0,8.2,91.7
2026-05-21 13:16:15,DNN,O1,15,60,64,5.4,0.0,9.8,92.3
2026-05-21 13:16:22,DNN,O1,20,60,64,7.0,0.0,11.5,93.8
2026-05-21 13:16:29,DNN,O1,0,140,64,1.4,0.0,5.2,90.8
2026-05-21 13:16:36,DNN,O1,5,140,64,2.5,0.0,6.8,91.7
2026-05-21 13:16:43,DNN,O1,10,140,64,3.9,0.0,8.4,92.3
2026-05-21 13:16:51,DNN,O1,15,140,64,5.4,0.0,10.1,93.1
2026-05-21 13:16:58,DNN,O1,20,140,64,7.1,0.0,11.8,95.6
2026-05-21 14:22:02,CNN,O1,0,28,64,1.7,0.0,5.0,93.1
2026-05-21 14:22:09,CNN,O1,0,60,64,1.5,0.0,4.9,91.7
2026-05-21 14:22:17,CNN,O1,0,140,64,1.4,0.0,5.2,90.6
2026-05-22 13:09:56,CNN,O1,5,28,64,2.8,0.0,6.6,93.5
2026-05-22 13:18:12,CNN,O1,10,28,64,4.2,0.0,8.2,93.7
2026-05-22 13:25:30,CNN,O1,15,28,64,5.8,0.0,9.9,94.1
2026-05-22 13:32:49,CNN,O1,20,28,64,7.4,0.0,11.6,94.6
2026-05-22 13:41:16,CNN,O1,5,60,64,2.6,0.0,6.5,92.2
2026-05-22 13:49:34,CNN,O1,10,60,64,3.9,0.0,8.2,92.7
2026-05-22 13:57:43,CNN,O1,15,60,64,5.5,0.0,9.8,93.3
2026-05-22 14:05:13,CNN,O1,20,60,64,7.1,0.0,11.5,93.7
2026-05-22 14:12:59,CNN,O1,5,140,64,2.5,0.0,6.8,93.1
2026-05-22 14:20:59,CNN,O1,10,140,64,3.9,0.0,8.4,93.7
2026-05-22 14:29:11,CNN,O1,15,140,64,5.5,0.0,10.1,94.1
2026-05-22 14:37:31,CNN,O1,20,140,64,7.0,0.0,11.8,93.5
2026-05-22 15:07:12,LSTM,O1,5,28,64,2.9,0.0,6.6,97.8
2026-05-22 15:10:09,LSTM,O1,10,28,64,4.3,0.0,8.2,98.2
2026-05-22 15:13:11,LSTM,O1,15,28,64,5.9,0.0,9.9,98.4
2026-05-22 15:16:19,LSTM,O1,20,28,64,7.5,0.0,11.6,98.7
2026-05-22 15:19:25,LSTM,O1,5,60,64,2.6,0.0,6.5,97.4
2026-05-22 15:22:30,LSTM,O1,10,60,64,4.0,0.0,8.2,97.8
2026-05-22 15:25:15,LSTM,O1,15,60,64,5.6,0.0,9.8,98.0
2026-05-22 15:28:13,LSTM,O1,20,60,64,7.2,0.0,11.5,98.1
2026-05-22 15:31:19,LSTM,O1,5,140,64,2.6,0.0,6.8,96.6
2026-05-22 15:34:20,LSTM,O1,10,140,64,4.0,0.0,8.4,97.0
2026-05-22 15:37:21,LSTM,O1,15,140,64,5.5,0.0,10.1,97.3
2026-05-22 15:40:23,LSTM,O1,20,140,64,7.1,0.0,11.8,97.9
2026-05-22 15:43:57,LSTM,O1,0,28,64,1.7,0.0,5.0,97.6
2026-05-22 15:46:57,LSTM,O1,0,60,64,1.5,0.0,4.9,97.2
2026-05-22 15:49:56,LSTM,O1,0,140,64,1.5,0.0,5.2,96.5
